id_vaca_gps,Numero_pendiente,IdUsuario,latitud,longitud,rssi,fecha
183,1001,1,43.127728,-8.484973,-101.0,2024-04-20 12:54:04
184,1001,1,43.127728,-8.484968,-100.0,2024-04-20 12:54:10
185,1001,1,43.127728,-8.484968,-100.0,2024-04-20 12:54:12
186,1001,1,43.127728,-8.484968,-100.0,2024-04-20 12:54:13
187,1001,1,43.127735,-8.484992,-105.0,2024-04-20 12:54:22
188,1001,1,43.127743,-8.485001,-96.0,2024-04-20 12:54:25
189,1001,1,43.127743,-8.485001,-101.0,2024-04-20 12:54:27
190,1001,1,43.127747,-8.485012,-100.0,2024-04-20 12:54:33
191,1001,1,43.127747,-8.485012,-100.0,2024-04-20 12:54:35
192,1001,1,43.127747,-8.485012,-99.0,2024-04-20 12:54:36
193,1001,1,43.127773,-8.485118,-98.0,2024-04-20 12:54:44
194,1001,1,43.127773,-8.485118,-99.0,2024-04-20 12:54:45
195,1001,1,43.127792,-8.485165,-100.0,2024-04-20 12:54:48
196,1001,1,43.127792,-8.485165,-94.0,2024-04-20 12:54:50
197,1001,1,43.1278,-8.485172,-100.0,2024-04-20 12:54:54
198,1001,1,43.127819,-8.485204,-101.0,2024-04-20 12:54:55
199,1001,1,43.127819,-8.485204,-100.0,2024-04-20 12:54:56
200,1001,1,43.127819,-8.485204,-96.0,2024-04-20 12:54:57
201,1001,1,43.127834,-8.485242,-95.0,2024-04-20 12:54:59
202,1001,1,43.127834,-8.485249,-95.0,2024-04-20 12:55:05
203,1001,1,43.127842,-8.485297,-94.0,2024-04-20 12:55:07
204,1001,1,43.127842,-8.485297,-99.0,2024-04-20 12:55:08
205,1001,1,43.127842,-8.485315,-99.0,2024-04-20 12:55:10
206,1001,1,43.127842,-8.485337,-102.0,2024-04-20 12:55:11
207,1001,1,43.127838,-8.485352,-108.0,2024-04-20 12:55:18
208,1001,1,43.12785,-8.485416,-103.0,2024-04-20 12:55:20
209,1001,1,43.12785,-8.485416,-104.0,2024-04-20 12:55:22
210,1001,1,43.127869,-8.485454,-100.0,2024-04-20 12:55:31
211,1001,1,43.127937,-8.485476,-103.0,2024-04-20 12:55:38
212,1001,1,43.127953,-8.485554,-117.0,2024-04-20 12:55:50
